paper_title,author,year,journal,dataset,dataset_size,num_inputs,classes,train_size,test_size,method,situation,error,error_sd,tuning,ntree,mtry,evaluation,comparison
Random forests,Breiman,2001,Machine Learning,ionosphere,351,34,2,315,36,rf,allround,7.1,NA,default,100,log2(p+1),50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,vehicle,846,18,4,761,85,rf,allround,25.8,NA,default,100,log2(p+1),50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,german credit,1000,24,2,900,100,rf,allround,24.4,NA,default,100,log2(p+1),50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,image,2310,19,7,2079,231,rf,allround,2.1,NA,default,100,log2(p+1),50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,ecoli,336,7,8,302,34,rf,allround,12.8,NA,default,100,log2(p+1),50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,votes,435,16,2,391,44,rf,allround,4.1,NA,default,100,log2(p+1),50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,liver,345,6,2,310,35,rf,allround,25.1,NA,default,100,log2(p+1),50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,letters,20000,16,26,15000,5000,rf,allround,3.5,NA,default,100,log2(p+1),50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,satellite,6435,36,6,4435,2000,rf,allround,8.6,NA,default,100,log2(p+1),50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,zip,9298,256,10,7291,2007,rf,allround,6.3,NA,default,200,log2(p+1),50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,waveform,3300,21,3,300,3000,rf,allround,17.2,NA,default,100,log2(p+1),50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,twonorm,3300,20,2,300,3000,rf,allround,3.9,NA,default,100,log2(p+1),50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,threenorm,3300,20,2,300,3000,rf,allround,17.5,NA,default,100,log2(p+1),50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,ringnorm,3300,20,2,300,3000,rf,allround,4.9,NA,default,100,log2(p+1),50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,glass,214,9,6,192,22,adaboost,allround,22,NA,none,50,NA,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,breast cancer,699,9,2,629,70,adaboost,allround,3.2,NA,none,50,NA,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,pima,768,8,2,691,77,adaboost,allround,26.6,NA,none,50,NA,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,sonar,208,60,2,187,21,adaboost,allround,15.6,NA,none,50,NA,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,vowel,990,10,11,891,99,adaboost,allround,4.1,NA,none,50,NA,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,ionosphere,351,34,2,315,36,adaboost,allround,6.4,NA,none,50,NA,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,vehicle,846,18,4,761,85,adaboost,allround,23.2,NA,none,50,NA,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,german credit,1000,24,2,900,100,adaboost,allround,23.5,NA,none,50,NA,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,image,2310,19,7,2079,231,adaboost,allround,1.6,NA,none,50,NA,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,ecoli,336,7,8,302,34,adaboost,allround,14.8,NA,none,50,NA,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,votes,435,16,2,391,44,adaboost,allround,4.8,NA,none,50,NA,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,liver,345,6,2,310,35,adaboost,allround,30.7,NA,none,50,NA,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,letters,20000,16,26,15000,5000,adaboost,allround,3.4,NA,none,50,NA,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,satellite,6435,36,6,4435,2000,adaboost,allround,8.8,NA,none,50,NA,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,zip,9298,256,10,7291,2007,adaboost,allround,6.2,NA,none,100,NA,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,waveform,3300,21,3,300,3000,adaboost,allround,17.8,NA,none,50,NA,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,twonorm,3300,20,2,300,3000,adaboost,allround,4.9,NA,none,50,NA,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,threenorm,3300,20,2,300,3000,adaboost,allround,18.8,NA,none,50,NA,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,ringnorm,3300,20,2,300,3000,adaboost,allround,6.9,NA,none,50,NA,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,glass,214,9,6,192,22,orf-rnd,allround,24.4,NA,OOB,50,mtryTuned,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,breast cancer,699,9,2,629,70,orf-rnd,allround,3.1,NA,OOB,50,mtryTuned,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,pima,768,8,2,691,77,orf-rnd,allround,23,NA,OOB,50,mtryTuned,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,sonar,208,60,2,187,21,orf-rnd,allround,13.6,NA,OOB,50,mtryTuned,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,vowel,990,10,11,891,99,orf-rnd,allround,3.3,NA,OOB,50,mtryTuned,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,ionosphere,351,34,2,315,36,orf-rnd,allround,5.5,NA,OOB,50,mtryTuned,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,vehicle,846,18,4,761,85,orf-rnd,allround,23.1,NA,OOB,50,mtryTuned,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,german credit,1000,24,2,900,100,orf-rnd,allround,22.8,NA,OOB,50,mtryTuned,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,image,2310,19,7,2079,231,orf-rnd,allround,1.6,NA,OOB,50,mtryTuned,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,ecoli,336,7,8,302,34,orf-rnd,allround,12.9,NA,OOB,50,mtryTuned,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,votes,435,16,2,391,44,orf-rnd,allround,4.1,NA,OOB,50,mtryTuned,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,liver,345,6,2,310,35,orf-rnd,allround,27.3,NA,OOB,50,mtryTuned,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,letters,20000,16,26,15000,5000,orf-rnd,allround,3.4,NA,OOB,50,mtryTuned,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,satellite,6435,36,6,4435,2000,orf-rnd,allround,9.1,NA,OOB,50,mtryTuned,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,zip,9298,256,10,7291,2007,orf-rnd,allround,6.2,NA,OOB,100,mtryTuned,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,waveform,3300,21,3,300,3000,orf-rnd,allround,16,NA,OOB,50,mtryTuned,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,twonorm,3300,20,2,300,3000,orf-rnd,allround,3.8,NA,OOB,50,mtryTuned,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,threenorm,3300,20,2,300,3000,orf-rnd,allround,16.8,NA,OOB,50,mtryTuned,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,ringnorm,3300,20,2,300,3000,orf-rnd,allround,4.8,NA,OOB,50,mtryTuned,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,glass,214,9,6,192,22,orf-rnd,allround,23.5,NA,none,50,2,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,breast cancer,699,9,2,629,70,orf-rnd,allround,2.9,NA,none,50,2,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,pima,768,8,2,691,77,orf-rnd,allround,23.1,NA,none,50,2,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,sonar,208,60,2,187,21,orf-rnd,allround,13.8,NA,none,50,2,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,vowel,990,10,11,891,99,orf-rnd,allround,3.3,NA,none,50,2,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,ionosphere,351,34,2,315,36,orf-rnd,allround,5.7,NA,none,50,2,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,vehicle,846,18,4,761,85,orf-rnd,allround,22.8,NA,none,50,2,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,german credit,1000,24,2,900,100,orf-rnd,allround,23.8,NA,none,50,2,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,image,2310,19,7,2079,231,orf-rnd,allround,1.8,NA,none,50,2,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,ecoli,336,7,8,302,34,orf-rnd,allround,12.4,NA,none,50,2,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,votes,435,16,2,391,44,orf-rnd,allround,4,NA,none,50,2,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,liver,345,6,2,310,35,orf-rnd,allround,27.2,NA,none,50,2,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,letters,20000,16,26,15000,5000,orf-rnd,allround,4.1,NA,none,50,2,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,satellite,6435,36,6,4435,2000,orf-rnd,allround,10.2,NA,none,50,2,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,zip,9298,256,10,7291,2007,orf-rnd,allround,7.2,NA,none,100,2,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,waveform,3300,21,3,300,3000,orf-rnd,allround,16.1,NA,none,50,2,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,twonorm,3300,20,2,300,3000,orf-rnd,allround,3.9,NA,none,50,2,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,threenorm,3300,20,2,300,3000,orf-rnd,allround,16.9,NA,none,50,2,50 runs train/test,simple diff
Random forests,Breiman,2001,Machine Learning,ringnorm,3300,20,2,300,3000,orf-rnd,allround,4.6,NA,none,50,2,50 runs train/test,simple diff
Extremely randomised trees,Geurts et al.,2006,Machine Learning,waveform,3300,21,3,300,4700,tree,allround,29.17,NA,none,1,NA,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,twonorm,3300,20,2,300,9700,tree,allround,21.53,NA,none,1,NA,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,ringnorm,3300,20,2,300,9700,tree,allround,16.31,NA,none,1,NA,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,vehicle,846,18,4,761,85,tree,allround,26.8,NA,none,1,NA,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,vowel,990,10,11,891,99,tree,allround,20.63,NA,none,1,NA,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,segment,2310,19,7,2079,231,tree,allround,3.24,NA,none,1,NA,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,spam,4601,57,2,3221,1380,tree,allround,8.33,NA,none,1,NA,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,satellite,6435,36,6,4435,2000,tree,allround,14.63,NA,none,1,NA,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,pendigits,10992,16,10,7494,3498,tree,allround,3.91,NA,none,1,NA,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,dig44,18000,16,10,9000,9000,tree,allround,15.03,NA,none,1,NA,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,letters,20000,16,26,10000,10000,tree,allround,14.84,NA,none,1,NA,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,isolet,7797,617,26,6238,1559,tree,allround,26.45,NA,none,1,NA,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,waveform,3300,21,3,300,4700,bagging,allround,19.41,NA,none,100,NA,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,twonorm,3300,20,2,300,9700,bagging,allround,6.97,NA,none,100,NA,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,ringnorm,3300,20,2,300,9700,bagging,allround,8.12,NA,none,100,NA,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,vehicle,846,18,4,761,85,bagging,allround,25.15,NA,none,100,NA,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,vowel,990,10,11,891,99,bagging,allround,7.35,NA,none,100,NA,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,segment,2310,19,7,2079,231,bagging,allround,2.2,NA,none,100,NA,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,spam,4601,57,2,3221,1380,bagging,allround,5.73,NA,none,100,NA,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,satellite,6435,36,6,4435,2000,bagging,allround,9.56,NA,none,100,NA,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,pendigits,10992,16,10,7494,3498,bagging,allround,1.74,NA,none,100,NA,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,dig44,18000,16,10,9000,9000,bagging,allround,8.24,NA,none,100,NA,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,letters,20000,16,26,10000,10000,bagging,allround,7.44,NA,none,100,NA,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,isolet,7797,617,26,6238,1559,bagging,allround,12.4,NA,none,100,NA,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,waveform,3300,21,3,300,4700,rs,allround,17.45,NA,optimal-test,100,mtryTuned,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,twonorm,3300,20,2,300,9700,rs,allround,3.76,NA,optimal-test,100,mtryTuned,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,ringnorm,3300,20,2,300,9700,rs,allround,4.57,NA,optimal-test,100,mtryTuned,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,vehicle,846,18,4,761,85,rs,allround,24.16,NA,optimal-test,100,mtryTuned,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,vowel,990,10,11,891,99,rs,allround,2.73,NA,optimal-test,100,mtryTuned,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,segment,2310,19,7,2079,231,rs,allround,1.72,NA,optimal-test,100,mtryTuned,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,spam,4601,57,2,3221,1380,rs,allround,4.1,NA,optimal-test,100,mtryTuned,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,satellite,6435,36,6,4435,2000,rs,allround,8.14,NA,optimal-test,100,mtryTuned,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,pendigits,10992,16,10,7494,3498,rs,allround,0.9,NA,optimal-test,100,mtryTuned,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,dig44,18000,16,10,9000,9000,rs,allround,4.87,NA,optimal-test,100,mtryTuned,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,letters,20000,16,26,10000,10000,rs,allround,4.39,NA,optimal-test,100,mtryTuned,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,isolet,7797,617,26,6238,1559,rs,allround,7.85,NA,optimal-test,100,mtryTuned,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,waveform,3300,21,3,300,4700,rf,allround,16.97,NA,optimal-test,100,mtryTuned,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,twonorm,3300,20,2,300,9700,rf,allround,3.54,NA,optimal-test,100,mtryTuned,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,ringnorm,3300,20,2,300,9700,rf,allround,3.64,NA,optimal-test,100,mtryTuned,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,vehicle,846,18,4,761,85,rf,allround,24.73,NA,optimal-test,100,mtryTuned,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,vowel,990,10,11,891,99,rf,allround,2.73,NA,optimal-test,100,mtryTuned,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,segment,2310,19,7,2079,231,rf,allround,1.72,NA,optimal-test,100,mtryTuned,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,spam,4601,57,2,3221,1380,rf,allround,4.1,NA,optimal-test,100,mtryTuned,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,satellite,6435,36,6,4435,2000,rf,allround,8.14,NA,optimal-test,100,mtryTuned,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,pendigits,10992,16,10,7494,3498,rf,allround,1.02,NA,optimal-test,100,mtryTuned,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,dig44,18000,16,10,9000,9000,rf,allround,5.23,NA,optimal-test,100,mtryTuned,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,letters,20000,16,26,10000,10000,rf,allround,4.87,NA,optimal-test,100,mtryTuned,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,isolet,7797,617,26,6238,1559,rf,allround,8.43,NA,optimal-test,100,mtryTuned,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,waveform,3300,21,3,300,4700,erf,allround,16.6,NA,optimal-test,100,mtryTuned,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,twonorm,3300,20,2,300,9700,erf,allround,3.15,NA,optimal-test,100,mtryTuned,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,ringnorm,3300,20,2,300,9700,erf,allround,3.27,NA,optimal-test,100,mtryTuned,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,vehicle,846,18,4,761,85,erf,allround,24.02,NA,optimal-test,100,mtryTuned,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,vowel,990,10,11,891,99,erf,allround,1.47,NA,optimal-test,100,mtryTuned,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,segment,2310,19,7,2079,231,erf,allround,1.4,NA,optimal-test,100,mtryTuned,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,spam,4601,57,2,3221,1380,erf,allround,4.15,NA,optimal-test,100,mtryTuned,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,satellite,6435,36,6,4435,2000,erf,allround,7.96,NA,optimal-test,100,mtryTuned,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,pendigits,10992,16,10,7494,3498,erf,allround,0.6,NA,optimal-test,100,mtryTuned,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,dig44,18000,16,10,9000,9000,erf,allround,4.48,NA,optimal-test,100,mtryTuned,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,letters,20000,16,26,10000,10000,erf,allround,3.75,NA,optimal-test,100,mtryTuned,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,isolet,7797,617,26,6238,1559,erf,allround,7.08,NA,optimal-test,100,mtryTuned,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,waveform,3300,21,3,300,4700,erf,allround,16.84,NA,cv-10,100,mtryTuned,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,twonorm,3300,20,2,300,9700,erf,allround,3.52,NA,cv-10,100,mtryTuned,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,ringnorm,3300,20,2,300,9700,erf,allround,3.55,NA,cv-10,100,mtryTuned,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,vehicle,846,18,4,761,85,erf,allround,24.47,NA,cv-10,100,mtryTuned,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,vowel,990,10,11,891,99,erf,allround,1.47,NA,cv-10,100,mtryTuned,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,segment,2310,19,7,2079,231,erf,allround,1.34,NA,cv-10,100,mtryTuned,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,spam,4601,57,2,3221,1380,erf,allround,4.41,NA,cv-10,100,mtryTuned,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,satellite,6435,36,6,4435,2000,erf,allround,8.12,NA,cv-10,100,mtryTuned,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,pendigits,10992,16,10,7494,3498,erf,allround,0.63,NA,cv-10,100,mtryTuned,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,dig44,18000,16,10,9000,9000,erf,allround,4.47,NA,cv-10,100,mtryTuned,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,letters,20000,16,26,10000,10000,erf,allround,3.77,NA,cv-10,100,mtryTuned,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,isolet,7797,617,26,6238,1559,erf,allround,7.19,NA,cv-10,100,mtryTuned,10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,waveform,3300,21,3,300,4700,erf,allround,16.61,NA,default,100,sqrt(p),10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,twonorm,3300,20,2,300,9700,erf,allround,3.53,NA,default,100,sqrt(p),10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,ringnorm,3300,20,2,300,9700,erf,allround,3.27,NA,default,100,sqrt(p),10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,vehicle,846,18,4,761,85,erf,allround,26,NA,default,100,sqrt(p),10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,vowel,990,10,11,891,99,erf,allround,1.74,NA,default,100,sqrt(p),10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,segment,2310,19,7,2079,231,erf,allround,1.77,NA,default,100,sqrt(p),10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,spam,4601,57,2,3221,1380,erf,allround,4.17,NA,default,100,sqrt(p),10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,satellite,6435,36,6,4435,2000,erf,allround,8.43,NA,default,100,sqrt(p),10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,pendigits,10992,16,10,7494,3498,erf,allround,0.67,NA,default,100,sqrt(p),10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,dig44,18000,16,10,9000,9000,erf,allround,4.49,NA,default,100,sqrt(p),10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,letters,20000,16,26,10000,10000,erf,allround,3.8,NA,default,100,sqrt(p),10 runs train/test,paired t-test
Extremely randomised trees,Geurts et al.,2006,Machine Learning,isolet,7797,617,26,6238,1559,erf,allround,7.61,NA,default,100,sqrt(p),10 runs train/test,paired t-test
